School Information,,,,Demographics,,,,,,,,,,,,Student Progress,,,Student Achievement,,,,,Gateway,,,,,,,,,School Environment,,,,,,,,,
School Code,School Name,Framework,School Ward,Asian (%),Black / African American (%),Hispanic (%),Multiracial (%),Native American (%),Pacific Islander / Native Hawaiian (%),White (%),At Risk (%),Economically Disadvantaged (%)*,ELL (%),SPED (%),Audited Enrollment (#),Assessment,"Math
 (%)",Reading  (%),Assessment,ELA Levels 3+ (%),ELA Levels 4+ (%),Math Levels 3+ (%),Math Levels 4+ (%),Gateway: 3rd Grade ELA Levels 3+ (%),Gateway: 8th Grade Math Levels 3+ (%),AP / IB / Dual Enrollment  (%),College Acceptance Rate (%),2015 5-Year Graduation Rate (%),2014 4-Year Graduation Rate (%),9th Grade on Track (%),PSAT Performance (%),SAT Performance (%),Attendance (ISA) (%),Reenrollment Rate (%),CLASS: Emotional Support (%),CLASS: Classroom Organization (%),CLASS: Instructional Support (%),9th Grade on Track (%),,,,
196,DC Prep PCS Ð Edgewood Middle,EC/ES/MS,5,0.3,88.1,4.1,7.5,0.0,0.0,0.0,38.4,61.6,0.3,16.3,294,PARCC,66.5,60.3,PARCC,81.0,49.1,88.2,64.5,,90.6,,,,,,,,95.0,82.3,,,,,,,,
3070,DC Scholars PCS,EC/ES/MS,7,0.0,99.7,0.3,0.0,0.0,0.0,0.0,66.3,100.0,0.0,12.9,389,PARCC,58.1,54.4,PARCC,38.6,17.0,62.5,28.4,33.3,,,,,,,,,92.7,75.9,5.6,5.4,2.5,,,,,
234,Democracy Prep Congress Heights PCS,EC/ES/MS,8,0.3,97.9,1.8,0.0,0.0,0.0,0.0,73.2,100.0,0.2,16.5,620,PARCC,46.0,60.0,PARCC,35.0,10.7,31.6,7.3,39.7,,,,,,,,,86.5,,5.3,5.5,2.9,,,,,
248,District of Columbia International School,EC/ES/MS,1,3.8,32.9,42.4,6.7,1.4,0.0,12.9,22.9,53.3,12.4,21.4,210,PARCC,54.0,47.0,PARCC,62.7,34.8,62.6,31.0,,,,,,,,,,95.6,,,,,,,,,
1206,E.L. Haynes PCS Ð Elementary School,EC/ES/MS,4,0.3,43.9,36.6,4.7,0.0,0.0,14.5,38.8,65.4,30.2,15.4,358,PARCC,75.0,47.5,PARCC,50.0,28.7,62.3,32.0,45.5,,,,,,,,,94.1,91.5,5.3,4.9,1.8,,,,,
1138,E.L. Haynes PCS Ð High School,HS,4,0.9,53.8,42.7,1.7,0.5,0.0,0.5,53.8,68.7,15.6,22.5,422,,,,PARCC,21.9,6.3,,,,,0.0,100.0,,58.8,71.6,11.7,66.7,91.0,87.7,,,,71.6,,,,
146,E.L. Haynes PCS Ð Middle School,EC/ES/MS,1,1.3,46.2,42.7,4.5,0.3,0.0,5.0,43.5,75.9,14.3,22.5,377,PARCC,61.2,58.1,PARCC,60.8,32.8,57.2,29.4,,67.4,,,,,,,,94.4,91.4,,,,,,,,
1125,Eagle Academy PCS Ð Capitol Riverfront,EC/ES/MS,6,0.0,93.2,3.4,0.0,0.7,0.0,2.7,56.2,100.0,0.0,13.7,146,NWEA,82.3,54.8,PARCC,40.0,30.0,80.0,40.0,40.0,,,,,,,,,91.6,80.5,5.9,5.5,3.2,,,,,
195,Eagle Academy PCS Ð Congress Heights,EC/ES/MS,8,0.0,98.4,0.6,0.0,0.3,0.0,0.6,62.0,100.0,0.3,17.0,774,NWEA,72.8,62.9,PARCC,49.3,21.1,56.3,35.2,49.3,,,,,,,,,92.9,79.7,6.0,5.3,3.1,,,,,
138,Early Childhood Academy PCS,EC/ES/MS,8,0.0,99.2,0.8,0.0,0.0,0.0,0.0,66.0,100.0,0.0,11.2,259,NWEA,67.5,48.8,PARCC,48.6,21.6,64.9,21.6,51.4,,,,,,,,,92.5,77.1,5.4,5.2,3.0,,,,,
159,Elsie Whitlow Stokes Community Freedom PCS,EC/ES/MS,5,0.3,45.1,28.6,9.1,0.3,0.0,16.6,18.9,55.1,18.1,9.7,350,PARCC,41.2,44.1,PARCC,72.5,38.2,64.9,29.8,67.4,,,,,,,,,95.3,91.8,5.6,4.9,2.8,,,,,
1113,Excel Academy PCS Ð DREAM,EC/ES/MS,8,0.0,97.4,1.1,1.6,0.0,0.0,0.0,67.1,100.0,0.0,4.9,569,NWEA,24.8,32.9,PARCC,48.6,25.7,13.5,4.1,50.8,,,,,,,,,88.4,80.2,5.3,5.2,2.2,,,,,
1211,Excel Academy PCS Ð LEAD,EC/ES/MS,8,0.0,98.7,0.6,0.6,0.0,0.0,0.0,67.7,100.0,0.0,18.2,155,PARCC,34.5,65.0,PARCC,57.4,22.1,31.4,5.8,,,,,,,,,,89.7,80.2,,,,,,,,
361,Friendship PCS Ð Blow-Pierce Elementary,EC/ES/MS,7,0.0,98.7,0.5,0.0,0.0,0.0,0.8,77.6,100.0,1.6,4.7,379,NWEA,81.0,74.8,PARCC,34.2,23.7,39.5,7.9,32.1,,,,,,,,,91.8,77.0,5.9,5.5,2.6,,,,,
362,Friendship PCS Ð Blow-Pierce Middle,EC/ES/MS,7,0.0,98.6,1.4,0.0,0.0,0.0,0.0,71.8,100.0,0.5,23.9,213,PARCC,56.0,54.7,PARCC,42.2,13.7,38.7,10.8,,31.7,,,,,,,,92.8,75.3,,,,,,,,
363,Friendship PCS Ð Chamberlain Elementary,EC/ES/MS,6,0.0,99.7,0.0,0.0,0.0,0.0,0.3,63.5,100.0,0.3,7.2,375,NWEA,85.9,63.0,PARCC,26.0,5.5,53.4,23.3,28.4,,,,,,,,,93.0,86.9,5.9,5.5,3.1,,,,,
364,Friendship PCS Ð Chamberlain Middle,EC/ES/MS,6,0.0,99.1,0.9,0.0,0.0,0.0,0.0,60.1,100.0,0.0,18.1,343,PARCC,68.8,45.9,PARCC,39.8,12.8,63.7,29.0,,54.7,,,,,,,,94.5,93.1,,,,,,,,
186,Friendship PCS Ð Collegiate Academy,HS,7,0.0,99.8,0.2,0.0,0.0,0.0,0.0,59.7,100.0,0.0,19.6,883,,,,PARCC,19.0,7.8,17.0,0.9,,,24.9,97.5,94.6,91.7,65.3,18.3,31.0,91.7,85.0,,,,65.3,,,,
113,Friendship PCS Ð Southeast Elementary Academy,EC/ES/MS,8,0.0,99.8,0.2,0.0,0.0,0.0,0.0,73.1,100.0,0.0,12.0,576,PARCC,57.3,45.9,PARCC,40.6,19.8,54.7,25.0,30.9,,,,,,,,,93.5,91.1,5.9,5.6,2.7,,,,,
1124,Friendship PCS Ð Technology Preparatory Academy - Middle School,EC/ES/MS,8,0.2,98.6,0.4,0.2,0.0,0.2,0.4,72.7,100.0,0.2,18.6,499,PARCC,47.0,46.4,PARCC,32.7,8.2,27.3,2.8,,24.3,,,,,,,,93.6,89.1,,,,,,,,
1124,Friendship PCS Ð Technology Preparatory Academy - High School,HS,8,0.2,98.6,0.4,0.2,0.0,0.2,0.4,72.7,100.0,0.2,18.6,499,,,,PARCC,25.5,5.9,24.0,0.0,,,10.0,96.7,,90.6,70.5,15.1,43.3,92.7,93.2,,,,70.5,,,,
365,Friendship PCS Ð Woodridge Elementary,EC/ES/MS,5,0.0,95.8,2.5,0.0,0.4,0.7,0.7,45.8,100.0,2.8,6.0,284,NWEA,67.7,49.7,PARCC,51.2,29.3,68.3,39.0,50.0,,,,,,,,,93.4,86.4,6.3,5.8,2.7,,,,,
366,Friendship PCS Ð Woodridge Middle,EC/ES/MS,5,0.0,96.4,3.6,0.0,0.0,0.0,0.0,45.2,100.0,0.6,22.0,168,PARCC,57.6,56.6,PARCC,51.9,18.5,50.3,18.4,,30.0,,,,,,,,93.9,87.9,,,,,,,,
245,Harmony DC PCS Ð School of Excellence,EC/ES/MS,5,1.5,93.9,4.5,0.0,0.0,0.0,0.0,63.6,80.3,0.0,12.1,66,PARCC,,,PARCC,36.8,10.5,35.0,15.0,,,,,,,,,,88.2,,,,,,,,,
131,Hope Community PCS Ð Lamond,EC/ES/MS,4,0.0,87.7,12.0,0.3,0.0,0.0,0.0,44.4,88.5,3.6,9.9,358,PARCC,47.5,55.9,PARCC,58.6,27.1,36.6,7.0,53.3,,,,,,,,,90.7,68.3,6.0,5.4,2.9,,,,,
114,Hope Community PCS Ð Tolson,EC/ES/MS,5,0.0,94.4,3.3,0.0,0.4,0.0,1.9,54.2,74.1,6.6,10.3,517,PARCC,41.3,47.3,PARCC,51.3,14.4,42.0,11.1,48.6,63.2,,,,,,,,93.8,86.1,5.7,5.4,2.2,,,,,
115,Howard University Middle School of Mathematics and Science PCS,EC/ES/MS,1,0.0,96.6,3.1,0.3,0.0,0.0,0.0,41.2,65.6,3.7,5.1,294,PARCC,51.9,38.0,PARCC,41.7,14.3,54.8,24.1,,73.3,,,,,,,,85.8,77.3,,,,,,,,
163,IDEA PCS,HS,7,0.0,97.7,2.3,0.0,0.0,0.0,0.0,76.5,100.0,0.5,20.3,217,,,,PARCC,53.1,20.4,28.2,2.6,,,0.0,100.0,67.2,48.4,69.5,18.8,42.5,90.9,74.0,,,,69.5,,,,
134,Ideal Academy PCS,EC/ES/MS,4,0.0,97.0,2.0,0.0,0.0,1.0,0.0,64.6,94.3,1.0,13.3,297,PARCC,45.7,46.8,PARCC,40.7,22.0,38.0,17.4,47.1,22.2,,,,,,,,93.2,75.3,5.4,5.0,2.5,,,,,
200,Ingenuity Prep PCS,EC/ES/MS,8,0.0,97.0,0.5,0.0,1.5,0.0,1.0,76.1,100.0,0.0,22.4,201,NWEA,87.7,73.8,,,,,,,,,,,,,,,88.9,80.2,6.1,6.2,4.0,,,,,
3064,Inspired Teaching Demonstration PCS,EC/ES/MS,5,3.2,38.5,2.8,8.8,0.6,0.6,45.4,12.0,18.3,4.4,12.3,317,PARCC,35.4,43.8,PARCC,65.4,42.0,61.7,34.6,69.6,,,,,,,,,95.0,88.6,5.8,5.2,2.4,,,,,
116,KIPP DC Ð AIM Academy PCS,EC/ES/MS,8,0.0,98.4,0.9,0.6,0.0,0.0,0.0,60.4,85.4,0.3,25.2,321,PARCC,61.3,53.9,PARCC,40.8,13.7,51.7,18.2,,73.8,,,,,,,,93.3,88.0,,,,,,,,
236,KIPP DC Ð Arts & Technology Academy PCS,EC/ES/MS,7,0.0,96.7,0.9,2.4,0.0,0.0,0.0,63.7,100.0,0.5,11.8,212,NWEA,85.3,77.9,,,,,,,,,,,,,,,94.2,,5.8,5.7,2.2,,,,,
1123,KIPP DC Ð College Preparatory PCS,HS,5,0.0,99.1,0.2,0.7,0.0,0.0,0.0,52.4,78.0,0.0,19.4,454,,,,PARCC,39.4,18.3,60.0,18.8,,,50.0,100.0,91.0,85.0,75.5,43.3,80.8,93.4,85.4,,,,75.5,,,,
209,KIPP DC Ð Connect Academy PCS,EC/ES/MS,5,0.0,95.3,1.3,3.0,0.0,0.0,0.3,57.1,82.4,0.7,8.3,301,NWEA,76.0,85.4,,,,,,,,,,,,,,,94.5,88.2,5.7,5.3,2.9,,,,,
1122,KIPP DC Ð Discover Academy PCS,EC/ES/MS,8,0.0,97.0,0.6,2.4,0.0,0.0,0.0,63.9,85.5,0.0,11.2,330,NWEA,78.4,64.0,,,,,,,,,,,,,,,92.7,91.0,5.5,5.4,2.2,,,,,
1129,KIPP DC Ð Grow Academy PCS,EC/ES/MS,6,1.3,91.7,3.8,2.6,0.0,0.0,0.6,48.4,77.6,1.0,8.7,312,NWEA,98.0,88.9,,,,,,,,,,,,,,,92.4,84.8,5.2,5.2,2.7,,,,,
3071,KIPP DC Ð Heights Academy PCS,EC/ES/MS,8,0.0,99.5,0.2,0.2,0.0,0.0,0.0,58.1,87.2,0.0,15.7,415,PARCC,54.0,41.0,PARCC,48.2,14.7,81.1,44.7,48.3,,,,,,,,,94.2,90.4,,,,,,,,
189,KIPP DC Ð KEY Academy PCS,EC/ES/MS,7,0.0,99.4,0.6,0.0,0.0,0.0,0.0,50.6,83.8,0.3,12.0,334,PARCC,58.6,47.5,PARCC,66.0,27.8,73.1,38.7,,82.4,,,,,,,,94.5,89.9,,,,,,,,
190,KIPP DC Ð Lead Academy PCS,EC/ES/MS,6,1.3,95.4,2.3,0.3,0.0,0.0,0.7,43.7,75.2,1.3,10.6,302,NWEA,71.4,50.5,PARCC,60.9,40.2,90.2,69.6,65.9,,,,,,,,,95.1,91.1,,,,,,,,
132,KIPP DC Ð LEAP Academy PCS,EC/ES/MS,7,0.0,97.7,0.7,1.6,0.0,0.0,0.0,61.5,85.2,0.0,9.2,304,NWEA,69.1,51.1,,,,,,,,,,,,,,,93.4,94.1,5.8,5.6,2.6,,,,,
242,KIPP DC Ð Northeast Academy PCS,EC/ES/MS,5,0.0,96.8,2.4,0.8,0.0,0.0,0.0,58.7,77.8,0.8,18.5,126,PARCC,60.0,70.0,PARCC,58.4,21.2,39.8,11.5,,,,,,,,,,95.3,,,,,,,,,
1121,KIPP DC Ð Promise Academy PCS,EC/ES/MS,7,0.0,98.0,1.8,0.3,0.0,0.0,0.0,56.0,86.5,0.8,15.8,400,PARCC,76.4,64.1,PARCC,59.3,31.4,85.6,65.5,60.4,,,,,,,,,95.9,89.3,,,,,,,,
237,KIPP DC Ð Quest Academy PCS,EC/ES/MS,7,0.0,95.0,1.4,3.5,0.0,0.0,0.0,64.2,100.0,0.4,18.1,282,PARCC,56.0,60.5,PARCC,36.6,9.7,52.2,24.6,20.0,,,,,,,,,94.5,,,,,,,,,
